<13>Apr 26 17:04:42 itachi: wto, 26 kwi 2022, 17:04:42 CEST
<13>Apr 27 18:32:02 itachi: śro, 27 kwi 2022, 18:32:02 CEST
<13>Apr 27 18:32:03 itachi: śro, 27 kwi 2022, 18:32:03 CEST
<13>Apr 27 18:32:04 itachi: śro, 27 kwi 2022, 18:32:04 CEST
<13>Apr 27 18:32:05 itachi: śro, 27 kwi 2022, 18:32:05 CEST
<13>Apr 27 18:32:06 itachi: śro, 27 kwi 2022, 18:32:06 CEST
<13>Apr 27 18:32:07 itachi: śro, 27 kwi 2022, 18:32:07 CEST
<13>Apr 27 18:32:08 itachi: śro, 27 kwi 2022, 18:32:08 CEST
<13>Apr 27 18:32:09 itachi: śro, 27 kwi 2022, 18:32:09 CEST
<13>Apr 27 18:32:10 itachi: śro, 27 kwi 2022, 18:32:10 CEST
<13>Apr 27 18:32:11 itachi: śro, 27 kwi 2022, 18:32:11 CEST
<13>Apr 27 18:32:12 itachi: śro, 27 kwi 2022, 18:32:12 CEST
<13>Apr 27 18:32:13 itachi: śro, 27 kwi 2022, 18:32:13 CEST
<13>Apr 27 18:32:14 itachi: śro, 27 kwi 2022, 18:32:14 CEST
<13>Apr 27 18:32:15 itachi: śro, 27 kwi 2022, 18:32:15 CEST
<13>Apr 27 18:32:16 itachi: śro, 27 kwi 2022, 18:32:16 CEST
<13>Apr 27 18:32:17 itachi: śro, 27 kwi 2022, 18:32:17 CEST
<13>Apr 27 18:32:18 itachi: śro, 27 kwi 2022, 18:32:18 CEST
<13>Apr 27 18:56:28 itachi: śro, 27 kwi 2022, 18:56:28 CEST
<13>Apr 27 18:56:29 itachi: śro, 27 kwi 2022, 18:56:29 CEST
<13>Apr 27 18:56:30 itachi: śro, 27 kwi 2022, 18:56:30 CEST
<13>Apr 27 18:56:31 itachi: śro, 27 kwi 2022, 18:56:31 CEST
<13>Apr 27 18:56:32 itachi: śro, 27 kwi 2022, 18:56:32 CEST
<13>Apr 27 18:56:33 itachi: śro, 27 kwi 2022, 18:56:33 CEST
<13>Apr 27 18:56:34 itachi: śro, 27 kwi 2022, 18:56:34 CEST
<13>Apr 27 18:56:35 itachi: śro, 27 kwi 2022, 18:56:35 CEST
<13>Apr 27 18:56:36 itachi: śro, 27 kwi 2022, 18:56:36 CEST
<13>Apr 27 18:56:37 itachi: śro, 27 kwi 2022, 18:56:37 CEST
<13>Apr 27 18:56:38 itachi: śro, 27 kwi 2022, 18:56:38 CEST
<13>Apr 27 18:56:39 itachi: śro, 27 kwi 2022, 18:56:39 CEST
<13>Apr 27 18:56:40 itachi: śro, 27 kwi 2022, 18:56:40 CEST
<13>Apr 27 18:56:41 itachi: śro, 27 kwi 2022, 18:56:41 CEST
<13>Apr 27 18:56:42 itachi: śro, 27 kwi 2022, 18:56:42 CEST
<13>Apr 27 18:56:43 itachi: śro, 27 kwi 2022, 18:56:43 CEST
<13>Apr 27 18:56:44 itachi: śro, 27 kwi 2022, 18:56:44 CEST
<13>Apr 27 18:56:45 itachi: śro, 27 kwi 2022, 18:56:45 CEST
<13>Apr 27 18:56:46 itachi: śro, 27 kwi 2022, 18:56:46 CEST
<13>Apr 27 18:56:47 itachi: śro, 27 kwi 2022, 18:56:47 CEST
<13>Apr 27 18:56:48 itachi: śro, 27 kwi 2022, 18:56:48 CEST
<13>Apr 27 18:56:49 itachi: śro, 27 kwi 2022, 18:56:49 CEST
<13>Apr 27 18:56:50 itachi: śro, 27 kwi 2022, 18:56:50 CEST
<13>Apr 27 18:56:51 itachi: śro, 27 kwi 2022, 18:56:51 CEST
<13>Apr 27 18:56:52 itachi: śro, 27 kwi 2022, 18:56:52 CEST
<13>Apr 27 18:56:53 itachi: śro, 27 kwi 2022, 18:56:53 CEST
<13>Apr 27 18:56:54 itachi: śro, 27 kwi 2022, 18:56:54 CEST
<13>Apr 27 18:56:55 itachi: śro, 27 kwi 2022, 18:56:55 CEST
<13>Apr 27 18:56:56 itachi: śro, 27 kwi 2022, 18:56:56 CEST
<13>Apr 27 18:56:57 itachi: śro, 27 kwi 2022, 18:56:57 CEST
<13>Apr 27 18:56:58 itachi: śro, 27 kwi 2022, 18:56:58 CEST
<13>Apr 27 18:56:59 itachi: śro, 27 kwi 2022, 18:56:59 CEST
<13>Apr 27 18:57:00 itachi: śro, 27 kwi 2022, 18:57:00 CEST
<13>Apr 27 18:57:01 itachi: śro, 27 kwi 2022, 18:57:01 CEST
<13>Apr 27 18:57:02 itachi: śro, 27 kwi 2022, 18:57:02 CEST
<13>Apr 27 18:57:03 itachi: śro, 27 kwi 2022, 18:57:03 CEST
<13>Apr 27 18:57:04 itachi: śro, 27 kwi 2022, 18:57:04 CEST
<13>Apr 27 18:57:05 itachi: śro, 27 kwi 2022, 18:57:05 CEST
<13>Apr 27 18:57:06 itachi: śro, 27 kwi 2022, 18:57:06 CEST
<13>Apr 27 18:57:07 itachi: śro, 27 kwi 2022, 18:57:07 CEST
<13>Apr 27 18:57:08 itachi: śro, 27 kwi 2022, 18:57:08 CEST
<13>Apr 27 18:57:09 itachi: śro, 27 kwi 2022, 18:57:09 CEST
<13>Apr 27 18:57:10 itachi: śro, 27 kwi 2022, 18:57:10 CEST
<13>Apr 27 18:57:11 itachi: śro, 27 kwi 2022, 18:57:11 CEST
<13>Apr 27 18:57:12 itachi: śro, 27 kwi 2022, 18:57:12 CEST
<13>Apr 27 18:57:13 itachi: śro, 27 kwi 2022, 18:57:13 CEST
<13>Apr 27 18:57:14 itachi: śro, 27 kwi 2022, 18:57:14 CEST
<13>Apr 27 18:57:15 itachi: śro, 27 kwi 2022, 18:57:15 CEST
<13>Apr 27 18:57:16 itachi: śro, 27 kwi 2022, 18:57:16 CEST
<13>Apr 27 18:57:17 itachi: śro, 27 kwi 2022, 18:57:17 CEST
<13>Apr 27 18:57:18 itachi: śro, 27 kwi 2022, 18:57:18 CEST
<13>Apr 27 18:57:19 itachi: śro, 27 kwi 2022, 18:57:19 CEST
<13>Apr 27 18:57:20 itachi: śro, 27 kwi 2022, 18:57:20 CEST
<13>Apr 27 18:57:21 itachi: śro, 27 kwi 2022, 18:57:21 CEST
<13>Apr 27 18:57:22 itachi: śro, 27 kwi 2022, 18:57:22 CEST
<13>Apr 27 18:57:23 itachi: śro, 27 kwi 2022, 18:57:23 CEST
<13>Apr 27 18:57:24 itachi: śro, 27 kwi 2022, 18:57:24 CEST
<13>Apr 27 18:57:25 itachi: śro, 27 kwi 2022, 18:57:25 CEST
<13>Apr 27 18:57:26 itachi: śro, 27 kwi 2022, 18:57:26 CEST
<13>Apr 27 18:57:27 itachi: śro, 27 kwi 2022, 18:57:27 CEST
<13>Apr 27 18:57:28 itachi: śro, 27 kwi 2022, 18:57:28 CEST
<13>Apr 27 18:57:29 itachi: śro, 27 kwi 2022, 18:57:29 CEST
<13>Apr 27 18:57:30 itachi: śro, 27 kwi 2022, 18:57:30 CEST
<13>Apr 27 18:57:31 itachi: śro, 27 kwi 2022, 18:57:31 CEST
<13>Apr 27 18:57:32 itachi: śro, 27 kwi 2022, 18:57:32 CEST
<13>Apr 27 18:57:33 itachi: śro, 27 kwi 2022, 18:57:33 CEST
<13>Apr 27 18:57:34 itachi: śro, 27 kwi 2022, 18:57:34 CEST
<13>Apr 27 18:57:35 itachi: śro, 27 kwi 2022, 18:57:35 CEST
<13>Apr 27 18:57:36 itachi: śro, 27 kwi 2022, 18:57:36 CEST
<13>Apr 27 18:57:37 itachi: śro, 27 kwi 2022, 18:57:37 CEST
<13>Apr 27 18:57:38 itachi: śro, 27 kwi 2022, 18:57:38 CEST
<13>Apr 27 18:57:39 itachi: śro, 27 kwi 2022, 18:57:39 CEST
<13>Apr 27 18:57:40 itachi: śro, 27 kwi 2022, 18:57:40 CEST
<13>Apr 27 18:57:41 itachi: śro, 27 kwi 2022, 18:57:41 CEST
<13>Apr 27 18:57:42 itachi: śro, 27 kwi 2022, 18:57:42 CEST
<13>Apr 27 18:57:44 itachi: śro, 27 kwi 2022, 18:57:44 CEST
<13>Apr 27 18:57:45 itachi: śro, 27 kwi 2022, 18:57:45 CEST
<13>Apr 27 18:57:46 itachi: śro, 27 kwi 2022, 18:57:46 CEST
<13>Apr 27 18:57:47 itachi: śro, 27 kwi 2022, 18:57:47 CEST
<13>Apr 27 18:57:48 itachi: śro, 27 kwi 2022, 18:57:48 CEST
<13>Apr 27 18:57:49 itachi: śro, 27 kwi 2022, 18:57:49 CEST
<13>Apr 27 18:57:50 itachi: śro, 27 kwi 2022, 18:57:50 CEST
<13>Apr 27 18:57:51 itachi: śro, 27 kwi 2022, 18:57:51 CEST
<13>Apr 27 18:57:52 itachi: śro, 27 kwi 2022, 18:57:52 CEST
<13>Apr 27 18:57:53 itachi: śro, 27 kwi 2022, 18:57:53 CEST
<13>Apr 27 18:57:54 itachi: śro, 27 kwi 2022, 18:57:54 CEST
<13>Apr 27 18:57:55 itachi: śro, 27 kwi 2022, 18:57:55 CEST
<13>Apr 27 18:57:56 itachi: śro, 27 kwi 2022, 18:57:56 CEST
<13>Apr 27 18:57:57 itachi: śro, 27 kwi 2022, 18:57:57 CEST
<13>Apr 27 18:57:58 itachi: śro, 27 kwi 2022, 18:57:58 CEST
<13>Apr 27 18:57:59 itachi: śro, 27 kwi 2022, 18:57:59 CEST
<13>Apr 27 18:58:00 itachi: śro, 27 kwi 2022, 18:58:00 CEST
<13>Apr 27 18:58:01 itachi: śro, 27 kwi 2022, 18:58:01 CEST
<13>Apr 27 18:58:02 itachi: śro, 27 kwi 2022, 18:58:02 CEST
<13>Apr 27 18:58:03 itachi: śro, 27 kwi 2022, 18:58:03 CEST
<13>Apr 27 18:58:04 itachi: śro, 27 kwi 2022, 18:58:04 CEST
<13>Apr 27 18:58:05 itachi: śro, 27 kwi 2022, 18:58:05 CEST
<13>Apr 27 18:58:06 itachi: śro, 27 kwi 2022, 18:58:06 CEST
<13>Apr 27 18:58:07 itachi: śro, 27 kwi 2022, 18:58:07 CEST
<13>Apr 27 18:58:08 itachi: śro, 27 kwi 2022, 18:58:08 CEST
<13>Apr 27 18:58:09 itachi: śro, 27 kwi 2022, 18:58:09 CEST
<13>Apr 27 18:58:10 itachi: śro, 27 kwi 2022, 18:58:10 CEST
<13>Apr 27 18:58:11 itachi: śro, 27 kwi 2022, 18:58:11 CEST
<13>Apr 27 18:58:12 itachi: śro, 27 kwi 2022, 18:58:12 CEST
<13>Apr 27 18:58:13 itachi: śro, 27 kwi 2022, 18:58:13 CEST
<13>Apr 27 18:58:14 itachi: śro, 27 kwi 2022, 18:58:14 CEST
<13>Apr 27 18:58:15 itachi: śro, 27 kwi 2022, 18:58:15 CEST
<13>Apr 27 18:58:16 itachi: śro, 27 kwi 2022, 18:58:16 CEST
<13>Apr 27 18:58:17 itachi: śro, 27 kwi 2022, 18:58:17 CEST
<13>Apr 27 18:58:18 itachi: śro, 27 kwi 2022, 18:58:18 CEST
<13>Apr 27 18:58:19 itachi: śro, 27 kwi 2022, 18:58:19 CEST
<13>Apr 27 18:58:20 itachi: śro, 27 kwi 2022, 18:58:20 CEST
<13>Apr 27 18:58:21 itachi: śro, 27 kwi 2022, 18:58:21 CEST
<13>Apr 27 18:58:22 itachi: śro, 27 kwi 2022, 18:58:22 CEST
<13>Apr 27 18:58:23 itachi: śro, 27 kwi 2022, 18:58:23 CEST
<13>Apr 27 18:58:24 itachi: śro, 27 kwi 2022, 18:58:24 CEST
<13>Apr 27 18:58:25 itachi: śro, 27 kwi 2022, 18:58:25 CEST
<13>Apr 27 18:58:26 itachi: śro, 27 kwi 2022, 18:58:26 CEST
<13>Apr 27 18:58:27 itachi: śro, 27 kwi 2022, 18:58:27 CEST
<13>Apr 27 18:58:28 itachi: śro, 27 kwi 2022, 18:58:28 CEST
<13>Apr 27 18:58:29 itachi: śro, 27 kwi 2022, 18:58:29 CEST
<13>Apr 27 18:58:30 itachi: śro, 27 kwi 2022, 18:58:30 CEST
<13>Apr 27 18:58:31 itachi: śro, 27 kwi 2022, 18:58:31 CEST
<13>Apr 27 18:58:32 itachi: śro, 27 kwi 2022, 18:58:32 CEST
<13>Apr 27 18:58:33 itachi: śro, 27 kwi 2022, 18:58:33 CEST
<13>Apr 27 18:58:34 itachi: śro, 27 kwi 2022, 18:58:34 CEST
<13>Apr 27 18:58:35 itachi: śro, 27 kwi 2022, 18:58:35 CEST
<13>Apr 27 18:58:36 itachi: śro, 27 kwi 2022, 18:58:36 CEST
<13>Apr 27 18:58:37 itachi: śro, 27 kwi 2022, 18:58:37 CEST
<13>Apr 27 18:58:38 itachi: śro, 27 kwi 2022, 18:58:38 CEST
<13>Apr 27 18:58:39 itachi: śro, 27 kwi 2022, 18:58:39 CEST
<13>Apr 27 18:58:40 itachi: śro, 27 kwi 2022, 18:58:40 CEST
<13>Apr 27 18:58:41 itachi: śro, 27 kwi 2022, 18:58:41 CEST
<13>Apr 27 18:58:42 itachi: śro, 27 kwi 2022, 18:58:42 CEST
<13>Apr 27 18:58:43 itachi: śro, 27 kwi 2022, 18:58:43 CEST
<13>Apr 27 18:58:44 itachi: śro, 27 kwi 2022, 18:58:44 CEST
<13>Apr 27 18:58:45 itachi: śro, 27 kwi 2022, 18:58:45 CEST
<13>Apr 27 18:58:46 itachi: śro, 27 kwi 2022, 18:58:46 CEST
<13>Apr 27 18:58:47 itachi: śro, 27 kwi 2022, 18:58:47 CEST
<13>Apr 27 18:58:48 itachi: śro, 27 kwi 2022, 18:58:48 CEST
<13>Apr 27 18:58:49 itachi: śro, 27 kwi 2022, 18:58:49 CEST
<13>Apr 27 18:58:50 itachi: śro, 27 kwi 2022, 18:58:50 CEST
<13>Apr 27 18:58:51 itachi: śro, 27 kwi 2022, 18:58:51 CEST
<13>Apr 27 18:58:52 itachi: śro, 27 kwi 2022, 18:58:52 CEST
<13>Apr 27 18:58:53 itachi: śro, 27 kwi 2022, 18:58:53 CEST
<13>Apr 27 18:58:54 itachi: śro, 27 kwi 2022, 18:58:54 CEST
<13>Apr 27 18:58:55 itachi: śro, 27 kwi 2022, 18:58:55 CEST
<13>Apr 27 18:58:56 itachi: śro, 27 kwi 2022, 18:58:56 CEST
<13>Apr 27 18:58:57 itachi: śro, 27 kwi 2022, 18:58:57 CEST
<13>Apr 27 18:58:58 itachi: śro, 27 kwi 2022, 18:58:58 CEST
<13>Apr 27 18:58:59 itachi: śro, 27 kwi 2022, 18:58:59 CEST
<13>Apr 27 18:59:00 itachi: śro, 27 kwi 2022, 18:59:00 CEST
<13>Apr 27 18:59:01 itachi: śro, 27 kwi 2022, 18:59:01 CEST
<13>Apr 27 18:59:02 itachi: śro, 27 kwi 2022, 18:59:02 CEST
<13>Apr 27 18:59:03 itachi: śro, 27 kwi 2022, 18:59:03 CEST
<13>Apr 27 18:59:04 itachi: śro, 27 kwi 2022, 18:59:04 CEST
<13>Apr 27 18:59:05 itachi: śro, 27 kwi 2022, 18:59:05 CEST
<13>Apr 27 18:59:06 itachi: śro, 27 kwi 2022, 18:59:06 CEST
<13>Apr 27 18:59:07 itachi: śro, 27 kwi 2022, 18:59:07 CEST
<13>Apr 27 18:59:08 itachi: śro, 27 kwi 2022, 18:59:08 CEST
<13>Apr 27 18:59:09 itachi: śro, 27 kwi 2022, 18:59:09 CEST
<13>Apr 27 18:59:10 itachi: śro, 27 kwi 2022, 18:59:10 CEST
<13>Apr 27 18:59:11 itachi: śro, 27 kwi 2022, 18:59:11 CEST
<13>Apr 27 18:59:12 itachi: śro, 27 kwi 2022, 18:59:12 CEST
<13>Apr 27 18:59:13 itachi: śro, 27 kwi 2022, 18:59:13 CEST
<13>Apr 27 18:59:14 itachi: śro, 27 kwi 2022, 18:59:14 CEST
<13>Apr 27 18:59:15 itachi: śro, 27 kwi 2022, 18:59:15 CEST
<13>Apr 27 18:59:16 itachi: śro, 27 kwi 2022, 18:59:16 CEST
<13>Apr 27 18:59:17 itachi: śro, 27 kwi 2022, 18:59:17 CEST
<13>Apr 27 18:59:18 itachi: śro, 27 kwi 2022, 18:59:18 CEST
<13>Apr 27 18:59:19 itachi: śro, 27 kwi 2022, 18:59:19 CEST
<13>Apr 27 18:59:20 itachi: śro, 27 kwi 2022, 18:59:20 CEST
<13>Apr 27 18:59:21 itachi: śro, 27 kwi 2022, 18:59:21 CEST
<13>Apr 27 18:59:22 itachi: śro, 27 kwi 2022, 18:59:22 CEST
<13>Apr 27 18:59:23 itachi: śro, 27 kwi 2022, 18:59:23 CEST
<13>Apr 27 18:59:24 itachi: śro, 27 kwi 2022, 18:59:24 CEST
<13>Apr 27 18:59:25 itachi: śro, 27 kwi 2022, 18:59:25 CEST
<13>Apr 27 18:59:26 itachi: śro, 27 kwi 2022, 18:59:26 CEST
<13>Apr 27 18:59:27 itachi: śro, 27 kwi 2022, 18:59:27 CEST
<13>Apr 27 18:59:28 itachi: śro, 27 kwi 2022, 18:59:28 CEST
<13>Apr 27 18:59:29 itachi: śro, 27 kwi 2022, 18:59:29 CEST
<13>Apr 27 18:59:30 itachi: śro, 27 kwi 2022, 18:59:30 CEST
<13>Apr 27 18:59:31 itachi: śro, 27 kwi 2022, 18:59:31 CEST
<13>Apr 27 18:59:32 itachi: śro, 27 kwi 2022, 18:59:32 CEST
<13>Apr 27 18:59:33 itachi: śro, 27 kwi 2022, 18:59:33 CEST
<13>Apr 27 18:59:34 itachi: śro, 27 kwi 2022, 18:59:34 CEST
<13>Apr 27 18:59:35 itachi: śro, 27 kwi 2022, 18:59:35 CEST
<13>Apr 27 18:59:36 itachi: śro, 27 kwi 2022, 18:59:36 CEST
<13>Apr 27 18:59:37 itachi: śro, 27 kwi 2022, 18:59:37 CEST
<13>Apr 27 18:59:38 itachi: śro, 27 kwi 2022, 18:59:38 CEST
<13>Apr 27 18:59:39 itachi: śro, 27 kwi 2022, 18:59:39 CEST
<13>Apr 27 18:59:40 itachi: śro, 27 kwi 2022, 18:59:40 CEST
<13>Apr 27 18:59:41 itachi: śro, 27 kwi 2022, 18:59:41 CEST
<13>Apr 27 18:59:42 itachi: śro, 27 kwi 2022, 18:59:42 CEST
<13>Apr 27 18:59:43 itachi: śro, 27 kwi 2022, 18:59:43 CEST
<13>Apr 27 18:59:44 itachi: śro, 27 kwi 2022, 18:59:44 CEST
<13>Apr 27 18:59:45 itachi: śro, 27 kwi 2022, 18:59:45 CEST
<13>Apr 27 18:59:46 itachi: śro, 27 kwi 2022, 18:59:46 CEST
<13>Apr 27 18:59:47 itachi: śro, 27 kwi 2022, 18:59:47 CEST
<13>Apr 27 18:59:48 itachi: śro, 27 kwi 2022, 18:59:48 CEST
<13>Apr 27 18:59:49 itachi: śro, 27 kwi 2022, 18:59:49 CEST
<13>Apr 27 18:59:50 itachi: śro, 27 kwi 2022, 18:59:50 CEST
<13>Apr 27 18:59:51 itachi: śro, 27 kwi 2022, 18:59:51 CEST
<13>Apr 27 18:59:52 itachi: śro, 27 kwi 2022, 18:59:52 CEST
<13>Apr 27 18:59:53 itachi: śro, 27 kwi 2022, 18:59:53 CEST
<13>Apr 27 18:59:54 itachi: śro, 27 kwi 2022, 18:59:54 CEST
